rn1q1b1r/pb1pk3/1p4pp/2p5/1n6/1Q2PB1P/PP3PP1/RNB1K1NR b KQ - 1 12	-315
r7/3rqpk1/1Q4pp/1R1p4/3P4/4P2P/5PP1/4R1K1 w - - 8 34	404
r6k/2pp2pp/pb3P2/1p1b4/1P6/2Q1P1q1/PB1P1R2/R4K2 b - - 0 27	-21
1r3rk1/2pq2pp/pp1p4/n5P1/5P2/P2R4/1PPB2Q1/2K4R b - - 0 22	-583
2kr1b1r/pbp2ppp/1pn2n2/8/5N2/2NqPRP1/PP1P2BP/R1BQ2K1 b - - 3 13	318
Rr2r1k1/1P3pp1/2p5/2Pp3n/4q3/2P1BnpP/1PN1K1R1/3Q1B2 w - - 6 23	-543
rnbqk2r/pppp1ppp/5n2/8/1bPNp3/P7/3PPPPP/RNBQKB1R b KQkq - 0 5	388
4k3/5prp/p3bq2/3p4/3R4/5NP1/PP4BP/4R2K w - - 5 28	-376
r1bqr1k1/2p2pp1/p1np3p/2nN3P/1p3Q2/7N/PPP1BPP1/1K1R3R w - - 2 17	-406
1q2b2k/5pb1/4p2p/3pP1N1/2pP3Q/2P2N2/4nPP1/2R2K2 w - - 6 41	383
2b2rk1/1p2qpb1/r1pp2pp/p7/P1P1PP2/1NN3P1/1PQ4P/R4R1K b - - 2 21	412
2r1knn1/7r/2p1pp1q/p1Rp3N/3P2P1/1P2QP2/PB2R1K1/8 b - - 5 34	-120
5rk1/q2n1pp1/2p1p3/2PpP2N/3P1PPn/r1NQ4/7P/1R3RK1 w - - 1 27	426
8/8/8/7P/1P6/4p1k1/1r6/5RK1 w - - 3 49	-56
2nk4/2p5/1p1p3b/1Q1Pp2q/PP2Pn2/2P3r1/2KB3p/3R1R1B b - - 1 37	-420
6r1/q1k4p/p1n1p1p1/1p1R1p2/1Pp5/6P1/PQ2PP1P/2K2R2 w - - 0 20	475
4k2r/p1q1npp1/2p1p3/2Pp4/1BnP1P1p/PQ4PP/5P2/R3K2R b KQk - 2 20	226
r2qk2r/pp2ppbp/2n2np1/2pp4/2P3P1/1P1PPN2/PB1NQP1P/R3K2R b KQkq - 2 12	219
8/PR3p2/8/8/7p/2k4P/1p2KPP1/r7 w - - 0 59	-54
2r2bk1/pp3rp1/1q2pnR1/3p3p/2n4P/1PN1P2B/P1P1QP2/1K1RB3 b - - 4 21	345
5bk1/R4pp1/2r5/2p5/2P1RQ1p/8/1P3q1P/1K6 b - - 4 41	-508
6k1/pb4p1/8/P1P2N2/5Pp1/6Pp/3R1K1P/4r3 b - - 2 41	-320
2k3r1/pppr4/1n2p1qb/4P2p/2PP1p1Q/1P5P/KP2R1P1/3RB2B b - - 1 22	-329
8/1b3p2/1n6/5k1p/8/P2K1NP1/3N3P/8 w - - 8 61	422
4r1k1/1q3pb1/3Q3p/1b4pP/2P3N1/4BP2/Pr2B1P1/2R1K2R b K - 3 25	-593
8/P1R5/6p1/4pp1p/rp2p2P/1k2P1P1/5P2/3K4 b - - 14 63	85
4r1kb/3bpp1p/3p2pB/rppP4/2P1P3/PR3N1P/1P3PP1/2R3K1 w - - 0 25	248
r2qr3/2p4R/p1kpP3/1p4P1/2nQ1P2/2P5/2P3P1/2KR4 b - - 0 29	-266
1r5r/2N1Rnk1/1p2p2p/p1p2pp1/P7/4P2P/1P3PP1/5RK1 b - - 5 29	-265
8/5p2/6p1/PB3k1p/3K1P1P/6r1/8/8 w - - 1 51	-370
6k1/1p3pp1/p7/2p1nNR1/P3P3/2Pr3P/6PK/8 b - - 1 34	29
2r3k1/7p/1R2p3/4P3/5PpP/P4bP1/2r2B2/4R1K1 b - - 9 34	-89
6k1/r3b1pp/qN2p3/2P2p2/p3bB2/P1PpQ2P/5PP1/5RK1 b - - 1 28	11
6r1/1p2k3/p1p1pn2/P7/1PpP2pP/6P1/3KPrB1/R5R1 w - - 4 30	279
2kr3r/pp1b1pp1/1qp2n1p/2PP4/3Q2B1/P7/1P3PPP/RN3RK1 b - - 0 16	-572
8/4p3/p5p1/1k5p/2p4P/P2b4/1P1Bp1P1/4K3 b - - 2 43	98
5r2/p1r2pk1/1pnR2p1/1B5p/4P3/1R4P1/P1P4P/6K1 b - - 1 35	271
8/4n1p1/p3k1p1/n5P1/P3KPP1/1p6/8/4R3 w - - 0 48	-203
