fen	coda_cp	opp_cp	outcome
8/8/2b3P1/5k2/3b4/6K1/6N1/8 b - - 22 82	215	67	0.5
8/6b1/2b3P1/5k2/8/6K1/6N1/8 b - - 26 84	216	64	0.5
8/6b1/2b3P1/4k3/5NK1/8/8/8 b - - 30 86	199	63	0.5
8/8/5bP1/4k3/4bNK1/8/8/8 b - - 34 88	199	62	0.5
8/6b1/6P1/4kb2/8/5K2/6N1/8 b - - 38 90	192	62	0.5
8/6b1/2b3P1/4k3/5N2/6K1/8/8 b - - 42 92	189	61	0.5
8/1b4b1/6P1/4k3/5N2/6K1/8/8 b - - 46 94	191	62	0.5
8/1b6/6P1/4bk2/8/8/5KN1/8 b - - 50 96	184	61	0.5
8/1b4b1/6P1/5k2/8/4N1K1/8/8 b - - 54 98	177	56	0.5
8/6b1/6P1/3b2k1/8/6K1/8/4N3 b - - 58 100	188	55	0.5
8/6b1/6P1/5k2/7N/1b4K1/8/8 b - - 62 102	227	56	0.5
8/6b1/4b1P1/8/4k2N/6K1/8/8 b - - 66 104	200	51	0.5
8/8/4b1P1/4b3/4k3/8/5KN1/8 b - - 70 106	189	52	0.5
8/8/4b1P1/4b3/4k3/8/5KN1/8 b - - 74 108	180	48	0.5
8/6b1/6P1/3b4/4k3/6K1/8/4N3 b - - 78 110	181	47	0.5
8/8/6P1/8/2b1k1K1/2b5/6N1/8 b - - 82 112	180	39	0.5
8/8/6P1/3b4/4k3/8/3b1KN1/8 b - - 86 114	171	5	0.5
8/8/4b1P1/8/4k3/8/3b1KN1/8 b - - 90 116	129	0	0.5
8/5n2/6k1/P3n3/4K3/8/8/8 b - - 0 48	95	-1	0.5
8/n4n2/6k1/P7/2K5/8/8/8 b - - 4 50	95	9	0.5
8/n7/5k2/P3n3/4K3/8/8/8 b - - 8 52	94	0	0.5
8/n7/Pn3k2/8/8/4K3/8/8 b - - 2 54	85	0	0.5
8/n7/P7/4k3/2n3K1/8/8/8 b - - 6 56	83	0	0.5
8/n7/P4k2/8/2n1K3/8/8/8 b - - 10 58	83	0	0.5
8/8/8/8/3n2n1/3k4/8/3K4 b - - 29 117	87	0	0.5
8/8/8/8/8/3kn3/2n5/1K6 b - - 33 119	125	4	0.5
8/8/8/8/2n5/2k5/2n5/1K6 b - - 37 121	145	7	0.5
8/8/8/8/2nn4/8/3k4/1K6 b - - 41 123	141	4	0.5
8/8/8/8/2n5/1nk5/8/1K6 b - - 45 125	113	0	0.5
8/8/8/8/2n5/3k4/3n4/K7 b - - 49 127	104	0	0.5
8/8/8/8/2n5/8/3n4/K1k5 b - - 53 129	113	0	0.5
8/8/8/8/2n5/8/3n4/K1k5 b - - 57 131	107	2	0.5
8/8/8/8/2nn4/8/8/K1k5 b - - 61 133	102	0	0.5
8/8/8/8/2n5/8/2k1n3/K7 b - - 65 135	115	0	0.5
8/8/8/8/8/1k6/1n2n3/K7 b - - 69 137	111	0	0.5
8/8/8/8/3n4/1k1n4/8/K7 b - - 73 139	128	0	0.5
8/8/8/8/1k1n4/3n4/8/1K6 b - - 77 141	103	0	0.5
8/8/8/8/8/k2n4/4n3/1K6 b - - 81 143	105	0	0.5
8/8/8/8/8/k2n4/4n3/1K6 b - - 85 145	107	0	0.5
r2r2k1/ppp2pbp/5np1/P1n5/2P3P1/2N1PN1P/1Pb1BP2/R1B1K2R w KQ - 3 11	217	131	0.5
r2r2k1/ppp2pbp/5np1/P1n5/2PN2P1/2NbP2P/1P2BP2/R1B2RK1 w - - 7 13	261	109	0.5
r2r2k1/ppp2pbp/5np1/P7/1PPN2P1/3nP2P/4NP2/R1B2RK1 w - - 1 15	222	88	0.5
r2r2k1/ppp2pb1/6p1/P6n/1PPN4/3nP2P/4NP2/1RB2RK1 w - - 0 17	216	94	0.5
r5k1/pppr1pb1/6p1/P1P1n2n/1P1N4/4P2P/4NP2/1RBR2K1 w - - 1 19	225	125	0.5
r5k1/p1pr1pb1/p4np1/2P1n3/1P1N4/4P2P/3BNP2/1R1R2K1 w - - 2 21	273	134	0.5
1r4k1/p1pr1pb1/R5p1/2P1n3/1P1Nn3/4P2P/3BNP2/3R2K1 w - - 1 23	233	120	0.5
1r4k1/R1p2pb1/2P3p1/3r4/1P1Nn3/3nP2P/3BNP2/3R2K1 w - - 1 25	244	118	0.5
1r4k1/R1p2pb1/2P3p1/6r1/1P1Nn3/2N1P2P/3B1n2/3R1K2 w - - 0 27	288	145	0.5
1r4k1/2R2pb1/2P3p1/6r1/1P1N4/4P2P/3n4/3R1K2 w - - 0 29	261	141	0.5
2R5/5pbk/2P3p1/6r1/1r1N4/4P2P/3R4/5K2 w - - 2 31	279	143	0.5
6k1/2R2pb1/2P3p1/5r2/1r6/4PN1P/3R4/5K2 w - - 6 33	266	157	0.5
3R4/2R2pbk/2P3p1/5r2/2r5/4PN1P/4K3/8 w - - 10 35	337	163	0.5
3R4/2R2pb1/2P3p1/5rNk/2r4P/4P3/4K3/8 w - - 3 37	384	192	0.5
8/2R2N2/2P2bp1/5r1k/7r/4P3/3RK3/8 w - - 0 39	473	214	0.5
8/3R1N2/2PR1b2/5rpk/2r5/4P3/4K3/8 w - - 2 41	525	227	0.5
8/2PR1N2/3R1b2/7k/2r1Prp1/8/4K3/8 w - - 1 43	679	294	0.5
8/2PR1N2/6k1/6b1/2r1Prp1/8/4K3/8 w - - 0 45	779	295	0.5
8/2PR4/8/6bk/2N1r1p1/8/4K3/8 w - - 0 47	775	302	0.5
5r2/2PR4/3N4/6bk/6p1/3K4/8/8 w - - 4 49	770	309	0.5
2N5/3R4/8/6bk/8/3K2p1/8/8 w - - 0 51	769	304	0.5
2N5/6R1/8/6b1/6k1/8/4K1p1/8 w - - 0 53	762	312	0.5
2N5/6R1/5b2/8/5k2/8/6K1/8 w - - 1 55	766	292	0.5
2N5/5R2/4kb2/8/8/5K2/8/8 w - - 5 57	762	300	0.5
2N5/5R2/4kb2/8/8/5K2/8/8 w - - 9 59	752	292	0.5
8/7R/1N3b2/8/3k4/5K2/8/8 w - - 13 61	759	307	0.5
8/8/1N6/5R2/3k4/5K2/7b/8 w - - 17 63	723	295	0.5
8/8/1N3b2/7R/3k4/5K2/8/8 w - - 21 65	717	330	0.5
8/8/1N6/6R1/3k4/5K2/7b/8 w - - 25 67	703	273	0.5
8/8/1NR5/8/3k4/5K2/7b/8 w - - 29 69	687	291	0.5
8/8/1NR5/8/3k4/5K2/7b/8 w - - 33 71	664	262	0.5
8/8/1N6/8/3k4/8/4K2b/2R5 w - - 37 73	659	286	0.5
2R5/8/1N6/8/3k4/b4K2/8/8 w - - 41 75	635	243	0.5
5b2/8/1NR5/8/3k4/8/4K3/8 w - - 45 77	638	242	0.5
5b2/2R5/1N2k3/8/8/8/4K3/8 w - - 49 79	632	234	0.5
2N5/2R5/8/3k4/1b6/4K3/8/8 w - - 53 81	593	233	0.5
2N5/8/8/4k3/2R5/b2K4/8/8 w - - 57 83	594	235	0.5
2N5/8/8/4k3/8/3K4/R7/2b5 w - - 61 85	598	237	0.5
2Nb4/2R5/8/4k3/8/3K4/8/8 w - - 65 87	593	222	0.5
2N5/8/8/4k1b1/3R4/3K4/8/8 w - - 69 89	557	225	0.5
2N5/8/8/5kb1/6R1/3K4/8/8 w - - 73 91	522	216	0.5
2Nb4/8/8/5k2/R7/3K4/8/8 w - - 77 93	501	204	0.5
2N5/1R6/8/5k2/8/3K2b1/8/8 w - - 81 95	453	165	0.5
2N5/5R2/5b2/5k2/8/3K4/8/8 w - - 85 97	437	132	0.5
2N5/8/4k3/8/7b/3K4/8/1R6 w - - 89 99	381	51	0.5
8/8/8/1N1k4/8/3K2b1/8/1R6 w - - 93 101	276	0	0.5
6k1/p4pp1/2bNp3/Ppr1P3/2P5/1P2R3/R4r1P/1K6 b - - 6 35	138	56	0.5
6k1/p4pp1/P1bNp3/2r1P3/1pP5/1P2R3/K6P/8 b - - 0 37	169	57	0.5
6k1/p4pp1/r1bNp3/4P3/1pP5/1P6/1K5P/4R3 b - - 1 39	166	53	0.5
6k1/p4Rp1/2bNp3/4r3/1pP5/1P6/1K5P/8 b - - 0 41	185	48	0.5
6k1/R5p1/2bNp3/8/1pP5/1P6/7r/2K5 b - - 0 43	144	39	0.5
rb2rnk1/1p1qn1pp/p1p2p2/2Pp1b2/PP1P1B2/R2B1N1P/4NPP1/1Q2R1K1 w - - 9 17	143	55	0.5
1r2rnk1/1p1qn1pp/p1p2p2/2Pp4/PP1P4/3R1N1P/4NPP1/1Q2R1K1 w - - 0 19	147	66	0.5
1r2rnk1/1p4pp/p1p2pn1/2Pp1q2/PP1P4/1R3N1P/1Q2NPP1/4R1K1 w - - 4 21	184	60	0.5
r3rnk1/1p4pp/2p2pn1/1PPp1q2/3P4/1R3N1P/1Q2NPP1/4R1K1 w - - 1 23	171	64	0.5
4rnk1/rp1q2pp/2p2pn1/1PPp4/3P4/1R3NNP/1Q3PP1/1R4K1 w - - 5 25	179	70	0.5
4rnk1/rp1q2pp/2p2pn1/1PPp4/3P4/1R3NNP/3Q1PP1/1R4K1 w - - 9 27	168	71	0.5
r4nk1/rp1qn1pp/2p2p2/1PPp4/3P4/1R2QNNP/5PPK/1R6 w - - 13 29	182	90	0.5
r7/rp1qnkpp/2p2pn1/1PPp4/3P4/1R2QNNP/5PPK/1R6 w - - 17 31	150	70	0.5
r1q5/1p2nkpp/2p2pn1/1PPp4/3P4/1R3NNP/r4PPK/1R1Q4 w - - 21 33	133	48	0.5
r1q5/1p2nkpp/2p2p2/1PPp1n2/3P4/1R1Q1NNP/r4PP1/1R4K1 w - - 25 35	131	41	0.5
rn1q1rk1/pp4bp/2ppbppn/8/1P6/5NP1/PBP1PPBP/RN1Q1RK1 w - - 4 6	189	88	0.5
1r1q1rk1/pp1n2bp/2ppbppn/8/1PP5/5NP1/PB1NPPBP/R2Q1RK1 w - - 1 8	204	95	0.5
1r1q1r2/pp1n2kp/2ppb1pn/5p2/PPP5/5NP1/3NPPBP/R2Q1RK1 w - - 0 10	208	83	0.5
1r3rb1/pp1n2kp/2pp1qpn/P4p2/1PPN4/6P1/3NPPBP/R2Q1RK1 w - - 1 12	175	80	0.5
1r3rb1/pp4kp/3p1qpn/P1n2p2/2PN4/4P1P1/3N1PBP/R2Q1RK1 w - - 0 14	183	70	0.5
1r3rb1/pp4kp/3p1qp1/P1n1np2/2PN4/2Q1P1P1/3N1PBP/R4RK1 w - - 4 16	172	67	0.5
1rr5/pp3bkp/3p1qp1/P1n1np2/2PN4/2Q1P1P1/3N1PBP/1RR3K1 w - - 8 18	152	71	0.5
1rr5/pp3bkp/3p1q2/P1n1n1p1/2PN1p2/Q3P1P1/3N1PBP/1R3RK1 w - - 0 20	170	79	0.5
1rr5/pp3bkp/3p1q2/P1n1n3/2P5/Q5p1/3NNPBP/1R3RK1 w - - 0 22	198	74	0.5
1rr3k1/pp3b1p/3p3q/P1n1n3/2P5/2Q3P1/3NN1BP/1R3RK1 w - - 3 24	202	66	0.5
1rr3k1/pp5p/3p3q/P1n1nb2/2P5/2Q3P1/3N2BP/1R3RK1 w - - 0 26	177	67	0.5
1rr4k/pp5p/3p3q/P2BnR2/2P5/2Qn2P1/3N3P/1R4K1 w - - 3 28	158	73	0.5
1rr4k/pp5p/3p3q/P2Bn3/2P5/2Qn2P1/3N3P/1R3RK1 w - - 7 30	147	60	0.5
1r3r1k/pp5p/3p3q/P1nBn3/2P5/2Q2RP1/3N3P/5RK1 w - - 11 32	147	57	0.5
5r1k/pp4qp/3p4/P1nBn3/2P5/2Q3P1/3N2KP/5R2 w - - 0 34	147	49	0.5
5q1k/pp5p/3p4/P2Bn3/2P5/1NQn2P1/6KP/8 w - - 2 36	137	48	0.5
5rk1/1p1nq2p/1Ppp1rp1/p1n5/2PRp2P/B1Q1P1P1/P4PB1/5RK1 w - - 1 18	197	100	0.5
5rk1/1p2q2p/1nppr1p1/2n5/2PRp2P/B3P1P1/P2Q1PB1/5RK1 w - - 0 20	243	60	0.5
5rk1/1p2q3/2ppr1p1/2n4p/n1PRp2P/B3P1P1/P1Q2PB1/3R2K1 w - - 0 22	184	23	0.5
3r4/1p2q2k/2ppr1p1/2n4p/n1PRp2P/B3P1P1/P2R1PB1/3Q2K1 w - - 4 24	194	26	0.5
3r4/1p2qk2/2pp1rp1/2n4p/nBPRp2P/4P1P1/P2R1PB1/3Q2K1 w - - 14 29	157	41	0.5
3r4/1p2qk2/2pp1rp1/2n4p/nBPRp2P/4P1PB/P1QR1P2/6K1 w - - 18 31	155	46	0.5
3r4/1p2q3/2pp1rpk/2n4p/nBPRp2P/4P1P1/P2R1P2/1Q3BK1 w - - 22 33	155	53	0.5
3r4/1p2q1k1/2ppr1p1/2n4p/nBPRp2P/4P1P1/P1QR1PB1/6K1 w - - 26 35	155	54	0.5
3r4/1p2q2k/2pp1rp1/2n4p/nBPRp2P/4P1PB/P2R1P2/3Q2K1 w - - 30 37	146	45	0.5
3r4/1p2q1k1/2ppr1p1/2n4p/nBPRp2P/4P1P1/P1QR1PB1/6K1 w - - 34 39	129	47	0.5
3r4/1p2q2k/2pp1rp1/2n4p/nBPRp2P/4P1PB/P1QR1P1K/8 w - - 38 41	137	41	0.5
3r4/1p2q1k1/2ppr1p1/2n4p/nBPRp2P/4P1P1/P2R1PBK/3Q4 w - - 42 43	131	40	0.5
3r2k1/1p2q3/2pp1rp1/2n4p/nBPRp2P/4P1PB/P1QR1P1K/8 w - - 46 45	131	35	0.5
3r2k1/1p2q3/2pp1rp1/2n4p/nBPRp2P/4P1PB/P1QR1P1K/8 w - - 50 47	134	43	0.5
3r4/1p2q2k/2ppr1p1/2n4p/nBPRp2P/P3P1P1/2QR1PBK/8 w - - 3 49	127	34	0.5
2krr3/6bp/1pb1qnp1/8/4pP1P/1N1P4/5PB1/R1BQR1K1 w - - 0 18	265	101	0.5
2k1r3/6bp/1pb1qnp1/8/5P1P/1N1p4/1B3PB1/R3R1K1 w - - 0 20	239	125	0.5
2k5/6bp/1pb1r1p1/3n4/3N1P1P/3p4/1B3PB1/R5K1 w - - 2 22	250	112	0.5
8/3k3p/1pb1N1p1/3n4/5P1P/3p4/1b3PB1/3R2K1 w - - 2 24	293	92	0.5
8/3k3p/1pN3p1/8/7P/3p4/1b3Pn1/3R2K1 w - - 0 26	236	84	0.5
1k6/7p/1p4p1/8/7P/3p4/1b3PK1/3R4 w - - 0 28	250	65	0.5
8/7p/1pk3p1/8/7P/3R1K2/1b3P2/8 w - - 1 30	296	57	0.5
8/7p/2k3p1/8/1p2K2P/5R2/1b3P2/8 w - - 0 32	129	34	0.5
8/1R5p/3k2p1/8/1p2K2P/2b5/5P2/8 w - - 4 34	130	24	0.5
8/5k1p/1R4p1/8/1p2K2P/2b2P2/8/8 w - - 3 36	119	7	0.5
8/3k3p/1R4p1/8/1p3P1P/2b2K2/8/8 w - - 3 38	98	1	0.5
8/7p/2k3p1/1R6/1p3P1P/2b1K3/8/8 w - - 7 40	132	10	0.5
8/7p/4k1p1/R7/1p3P1P/2bK4/8/8 w - - 11 42	147	2	0.5
8/7p/4kb2/7R/1p3P2/3K4/8/8 w - - 1 44	127	0	0.5
8/7p/5k2/1R3P2/1p6/2bK4/8/8 w - - 1 46	84	0	0.5
r4rk1/1pp3p1/3bbp1p/n3p3/p3P3/2P1BPPP/PPN3K1/R2R1B2 b - - 0 14	148	68	0.5
r2r2k1/1pp3p1/3bbp1p/4p3/pNB1P3/2P1BPPP/PP4K1/R2R4 b - - 0 16	147	66	0.5
r2r1bk1/1pp3p1/5p1p/3Np3/p1b1P3/2P1BPPP/PP1R2K1/R7 b - - 3 18	173	69	0.5
2r2bk1/1pp3p1/3r1p1p/3Np3/p1b1P1P1/1PP1BP1P/P2R2K1/R7 b - - 0 20	164	60	0.5
2r2bk1/1pp3p1/3r1p1p/3Np3/4P1P1/1bP1BP1P/3R2K1/1R6 b - - 1 22	159	53	0.5
2r2bk1/2p3p1/1p1r1p1p/3Pp3/2P3P1/4BP1P/3R2K1/1R6 b - - 0 24	137	56	0.5
8/2R5/7p/P3p3/2p1P1p1/4k1P1/1r2P2P/3K4 b - - 3 38	153	71	0.5
8/8/7p/P1R1p3/2p1P1p1/4k1P1/r3P2P/2K5 b - - 7 40	138	32	0.5
8/8/7p/P2Rp3/2p1k1p1/6P1/r3P2P/1K6 b - - 1 42	194	36	0.5
8/8/7p/PR2p3/4k1p1/r1p3P1/2K1P2P/8 b - - 1 44	101	11	0.5
8/8/7p/P3p3/6R1/r1p1k1P1/2K1P2P/8 b - - 0 46	99	9	0.5
2q5/5p2/k1r2BpK/pp1pPp1p/b1rP1P2/P1P1R2P/1Q4P1/4R3 w - - 20 42	85	-2	0.5
2q5/8/k1r2BpK/pp1ppp1p/b1rP1P2/P1P1R2P/4Q1P1/4R3 w - - 0 44	172	-16	0.5
5q2/8/k1r2BpK/pp1pP2p/b1rP1p2/P1P2R1P/4Q1P1/4R3 w - - 2 46	287	55	0.5
5q2/8/k1r1PBp1/pp1p2Kp/b2P1p2/P4R1P/2r1Q1P1/4R3 w - - 1 48	271	115	0.5
5q2/8/k1r1PBp1/p2pQ2p/bp1P1p1K/P4R1P/6r1/4R3 w - - 0 50	311	173	0.5
5q2/8/k1r1PBp1/p2pQ2p/bP1P3K/6pP/8/4R3 w - - 0 52	256	120	0.5
2r5/8/k3PBp1/p2pQ2p/bq1P3K/7P/8/4R3 w - - 2 54	275	118	0.5
2r5/8/k3PBK1/p2pQ2p/b2P4/7P/6q1/4R3 w - - 1 56	219	104	0.5
2r5/6K1/k1b1P3/p2pQ1Bp/3P4/7q/8/4R3 w - - 2 58	281	111	0.5
2r5/4P1K1/k1b5/p2pQ1Bp/3P2q1/4R3/8/8 w - - 1 60	175	43	0.5
2r5/4P1K1/k1b5/p2pQ1Bp/3P2q1/1R6/8/8 w - - 5 62	161	40	0.5
8/8/8/2K5/k2NN3/8/8/8 w - - 11 74	96	15	0.5
8/8/8/1K6/3N4/2N5/1k6/8 w - - 15 76	106	0	0.5
8/8/8/8/3N4/2NK4/1k6/8 w - - 19 78	155	0	0.5
8/8/8/1N6/3N4/8/1k1K4/8 w - - 23 80	195	0	0.5
8/8/8/1N6/8/5N2/k7/3K4 w - - 27 82	196	0	0.5
8/8/8/1N2N3/8/8/k1K5/8 w - - 31 84	182	0	0.5
8/4N3/8/1N6/8/8/k1K5/8 w - - 35 86	144	0	0.5
8/8/8/1N6/5N2/8/k1K5/8 w - - 39 88	132	0	0.5
8/8/8/8/8/N2N4/k1K5/8 w - - 43 90	137	0	0.5
8/8/8/4N3/2N5/8/k1K5/8 w - - 47 92	128	0	0.5
8/8/8/8/2N5/3N4/k7/2K5 w - - 51 94	196	0	0.5
8/8/8/8/2N5/1N6/k7/2K5 w - - 55 96	132	0	0.5
8/8/8/8/2N5/1N6/k7/2K5 w - - 59 98	129	0	0.5
8/8/8/2N5/2N5/8/k1K5/8 w - - 63 100	121	0	0.5
8/8/8/8/2N5/8/k1KN4/8 w - - 67 102	118	0	0.5
8/8/8/8/8/N7/k2N4/2K5 w - - 71 104	108	0	0.5
8/8/8/8/2N5/8/k7/1NK5 w - - 75 106	113	0	0.5
8/8/8/8/8/1N6/k7/1NK5 w - - 79 108	99	0	0.5
8/8/8/1N6/8/8/k7/1NK5 w - - 83 110	111	0	0.5
8/8/8/4n1nK/5k2/8/8/8 b - - 21 64	108	12	0.5
8/7K/4n3/4n3/6k1/8/8/8 b - - 25 66	101	1	0.5
6K1/8/4n2k/4n3/8/8/8/8 b - - 29 68	105	0	0.5
6K1/8/4n1k1/8/8/5n2/8/8 b - - 33 70	99	0	0.5
6K1/8/4n3/6nk/8/8/8/8 b - - 37 72	95	0	0.5
6K1/8/4n3/6nk/8/8/8/8 b - - 41 74	97	0	0.5
6K1/8/4n1k1/6n1/8/8/8/8 b - - 45 76	97	0	0.5
6K1/7n/6k1/8/5n2/8/8/8 b - - 49 78	97	0	0.5
6K1/7n/1n4k1/8/8/8/8/8 b - - 53 80	95	0	0.5
5nK1/8/6k1/8/n7/8/8/8 b - - 57 82	95	0	0.5
6K1/8/6k1/6n1/n7/8/8/8 b - - 61 84	95	0	0.5
6K1/8/4n1k1/8/8/2n5/8/8 b - - 65 86	95	0	0.5
5nK1/8/6k1/8/4n3/8/8/8 b - - 69 88	94	0	0.5
6K1/3n4/6k1/8/8/6n1/8/8 b - - 73 90	102	0	0.5
6K1/3n4/3n2k1/8/8/8/8/8 b - - 77 92	88	0	0.5
6K1/3n4/6k1/8/3n4/8/8/8 b - - 81 94	103	0	0.5
1r2kb1r/3p2p1/pq2p2p/2pb1p2/5P2/1P2PN2/PBQP2PP/2R2RK1 w k - 2 15	206	67	0.5
1r3b1r/3p1kp1/pq2p2p/2p2p2/5P2/1P1PPR2/PBQ3PP/2R3K1 w - - 1 17	178	61	0.5
1r3br1/3p1k2/pq2p1pp/2p2p2/4PP2/1P1P1R2/PBQ3PP/2R4K w - - 0 19	172	51	0.5
r4br1/3p1k2/1q2p1pp/p1p2p2/4PP2/1PBP1R1P/P1Q3P1/2R4K w - - 2 21	174	28	0.5
rnb1kbnr/pp1pp2p/1q4p1/2p2p2/P7/2P2NP1/1P1PPP1P/RNBQKB1R w KQkq - 0 1	235	154	0.5
rnb1kb1r/ppqpp2p/5np1/P1p2p2/3P4/2P2NP1/1P2PP1P/RNBQKB1R w KQkq - 1 3	285	138	0.5
rnb2rk1/ppqpp1bp/5np1/P1p2p2/3P4/2P2NP1/1P2PPBP/RNBQ1RK1 w - - 5 5	270	120	0.5
rnb2rk1/ppq1p1bp/3p1np1/P2P1p2/1Pp5/2P2NP1/4PPBP/RNBQ1RK1 w - - 0 7	246	135	0.5
r4rk1/ppqbp1bp/n2p1np1/P2P1p2/1Pp5/N1P1BNP1/4PPBP/R2Q1RK1 w - - 4 9	248	137	0.5
r4rk1/2qbp1bp/np1p1np1/3P1p2/1PpB4/N1P2NP1/4PPBP/R2Q1RK1 w - - 0 11	276	123	0.5
r1q2rk1/3bp1bp/np1p1np1/3P2N1/1PpBp3/N1P3P1/5PBP/R2Q1RK1 w - - 0 13	308	142	0.5
r1q2r2/3bp1kp/np1p2p1/3P4/1Pp1n3/N1P3P1/5PBP/R2Q1RK1 w - - 0 15	312	144	0.5
r1q2rk1/3bp2p/n2p2p1/1p1P4/1Pp1B3/N1P3P1/5P1P/R2QR1K1 w - - 0 17	314	133	0.5
r4rk1/3bpq1p/n2p2p1/1p1P4/1Pp5/2P3P1/2N2PBP/R2QR1K1 w - - 4 19	325	138	0.5
5rk1/2nbpq1p/3p2p1/1p1P4/rPp5/2P3PP/2NQ1PB1/R3R1K1 w - - 1 21	276	112	0.5
5rk1/2n1pq1p/3p2p1/1b1P4/pPp5/N1P3PP/3Q1PB1/4R1K1 w - - 2 23	306	123	0.5
5rk1/4pq1p/b2p2p1/1n1P4/pPpQ4/N1P3PP/4RPB1/6K1 w - - 6 25	262	120	0.5
4qrk1/4p2p/1Q1p2p1/1b1P4/pPp5/2P3PP/4RPB1/6K1 w - - 2 27	298	118	0.5
4qrk1/4p2p/1Q1p2p1/1b1P4/pPp4P/2P3P1/R4PB1/6K1 w - - 3 29	284	127	0.5
4q1k1/Q3pr1p/3p2p1/1b1P4/pPp4P/2P3P1/4RPB1/6K1 w - - 7 31	272	124	0.5
4q1k1/Q2bp1rp/3p2p1/3P4/pPp4P/2P3P1/R4PBK/8 w - - 11 33	247	135	0.5
4q1k1/Q2bpr2/3p2p1/3P3p/pPp4P/2P3P1/4RPB1/6K1 w - - 2 35	269	111	0.5
2q3k1/4pr2/3p2p1/1b1P3p/pPpQ3P/2P3P1/4RP2/5BK1 w - - 6 37	259	121	0.5
2q5/4p1rk/3pR1p1/1b1P3p/pPp1Q2P/2P3P1/5P2/5BK1 w - - 10 39	227	91	0.5
2q5/4p1rk/3p2p1/1b1P3p/pPp1RQ1P/2P3P1/5P2/5BK1 w - - 14 41	231	91	0.5
8/4p1rk/3p2p1/1b1q3p/pPp1R2P/2P1Q1P1/5PB1/6K1 w - - 0 43	160	56	0.5
7r/pP2bk2/2n4r/4pp2/Q1P1p1bp/2P1N1P1/1P3P2/R5K1 w - - 0 22	185	65	0.5
7r/pP2bk2/2n5/4p3/Q1P1p1pr/2P5/1P3P2/R5K1 w - - 0 24	206	53	0.5
7r/pP2bk2/2n5/4p3/Q1P1p1p1/2P5/1P2KP2/r7 w - - 0 26	172	40	0.5
8/pr2bk2/2n5/4p3/2P1p1p1/2P5/1P2KP2/7Q w - - 0 28	133	41	0.5
3n4/1r2bk2/8/p3p3/1PP1Q1p1/2P5/4KP2/8 w - - 0 30	112	26	0.5
3r4/2NRbk1p/5pp1/4pn2/1P4P1/4P2P/r4P2/4BRK1 w - - 1 24	125	30	0.5
3b4/4nk1p/5pp1/1N2p3/1P4P1/4P2P/r4P2/4BRK1 w - - 2 26	140	28	0.5
3b4/7p/4kpp1/1N1np3/1P4P1/2B1P2P/r4P2/3R2K1 w - - 6 28	141	30	0.5
r2b4/7p/4kpp1/1N2p3/1P2PnP1/7P/5P2/3RB1K1 w - - 1 30	109	23	0.5
r2b4/7p/4kpp1/1N2p1n1/1P2P1P1/8/3B1PK1/3R4 w - - 2 32	153	16	0.5
r2b4/8/4k1p1/4p1pp/1P2P1P1/2N5/5PK1/3R4 w - - 0 34	137	17	0.5
3b4/3k4/6p1/3Np1pp/1P2P1P1/8/r4PK1/1R6 w - - 4 36	92	5	0.5
rn3rk1/1b2pp1p/p2p1bp1/8/1q1NP3/2N2P1P/1PPQ2P1/1K1R1B1R w - - 0 13	168	75	0.0
rn3r2/1b2ppkp/p2p1Np1/8/3NP3/5P1P/1PPq2P1/1K1R1B1R w - - 1 15	169	78	0.0
rn3r2/1b2pp1p/p2p2p1/7k/3NP3/5P1P/1PPR2P1/1K3B1R w - - 0 17	149	68	0.0
r4r2/1b1npp1p/p2p2pk/8/3NP1PP/5P2/1PPR4/1K3B1R w - - 1 19	170	63	0.0
r2r4/1b1nppkp/p2p2p1/6PP/3NP3/5P2/1PPR4/1K3B1R w - - 1 21	183	93	0.0
r5r1/1b2ppkp/pn1p2p1/6PP/3NP3/5P1B/1PP4R/1K5R w - - 5 23	240	120	0.0
r5rk/1b3p1p/pn1p2pP/4p1P1/3NP3/5P1B/1PP4R/1K2R3 w - - 0 25	229	111	0.0
r2r2k1/1b3p1p/pn1p2pP/4p1P1/4P3/5P1B/1PP1NR2/1K2R3 w - - 4 27	234	112	0.0
r2r2k1/1b3p1p/p2p2pP/2n1p1P1/4PP2/1P5B/2P1NR2/1K2R3 w - - 1 29	225	100	0.0
1r1r2k1/1b3p1p/3p2pP/p1n1pPP1/4P3/1PN4B/2P2R2/1K2R3 w - - 1 31	200	91	0.0
2r4k/1r3p1p/3p1P1P/3Np1P1/pPB5/6n1/2P5/2K3R1 w - - 3 42	215	102	0.0
2B4k/r4p1p/3p1P1P/3Np1P1/pP6/8/2P1n3/2K3R1 w - - 1 44	190	52	0.0
r1B4k/5p1p/3p1P1P/1P1Np1P1/p7/8/1KP5/6n1 w - - 1 46	239	40	0.0
3r3k/5p1p/BN1p1P1P/1P2p1P1/p7/8/1KP1n3/8 w - - 5 48	241	14	0.0
2Nr3k/5p1p/BPnp1P1P/4p1P1/p7/8/1KP5/8 w - - 1 50	149	0	0.0
2Nr3k/1P3p1p/2np1P1P/1B4P1/p7/4p3/1KP5/8 w - - 0 52	65	-48	0.0
1n1r3k/1P2Np1p/5P1P/1B1p2P1/p7/K3p3/2P5/8 w - - 0 54	128	-52	0.0
1n5k/1P1rNp1p/5P1P/6P1/K2p4/4p3/2P1B3/8 w - - 2 56	-387	-210	0.0
1n5k/5p1p/5P1P/6P1/K2N4/4p3/2P1B3/1r6 w - - 1 58	-423	-244	0.0
