fen	coda_cp	opp_cp	outcome
8/5n2/5n2/1K3P2/8/3k4/8/8 b - - 8 90	206	25	0.5
8/8/3n1n2/5P2/3k4/1K6/8/8 b - - 12 92	204	21	0.5
8/8/5n2/5P2/3k4/1Kn5/8/8 b - - 16 94	204	15	0.5
8/8/5n2/3n1P2/8/4k3/1K6/8 b - - 20 96	234	3	0.5
8/8/5n2/3n1P2/K7/2k5/8/8 b - - 24 98	239	0	0.5
8/2n5/1K3n2/5P2/2k5/8/8/8 b - - 28 100	243	0	0.5
8/1K6/5n2/1n3P2/1k6/8/8/8 b - - 32 102	256	0	0.5
8/8/5n2/K1k2P2/8/2n5/8/8 b - - 36 104	259	86	0.5
8/K7/5n2/3k1P2/8/2n5/8/8 b - - 40 106	265	6819	0.5
8/K4n2/1nk2P2/8/8/8/8/8 b - - 68 158	85	0	0.5
8/5P2/K1kn4/8/2n5/8/8/8 b - - 0 160	107	0	0.5
8/5n2/K1k5/n7/8/8/8/8 b - - 3 162	119	0	0.5
K7/1n6/2kn4/8/8/8/8/8 b - - 7 164	124	0	0.5
K7/2k5/3n4/2n5/8/8/8/8 b - - 11 166	110	0	0.5
K7/8/nk1n4/8/8/8/8/8 b - - 15 168	111	0	0.5
K7/8/1k1n4/3n4/8/8/8/8 b - - 19 170	114	0	0.5
K7/8/1k1n4/3n4/8/8/8/8 b - - 23 172	111	0	0.5
K7/4n3/1k6/8/4n3/8/8/8 b - - 27 174	110	0	0.5
K7/4n3/nk6/8/8/8/8/8 b - - 31 176	112	0	0.5
K7/2k1n3/8/2n5/8/8/8/8 b - - 35 178	110	0	0.5
K7/2k5/3n4/2n5/8/8/8/8 b - - 39 180	110	0	0.5
K7/2k5/8/2n1n3/8/8/8/8 b - - 43 182	110	0	0.5
K7/2k5/8/2n5/5n2/8/8/8 b - - 47 184	106	0	0.5
K7/2k5/8/2n5/5n2/8/8/8 b - - 51 186	108	0	0.5
K7/2k5/8/2n5/3n4/8/8/8 b - - 55 188	94	0	0.5
1K6/8/2k5/2n2n2/8/8/8/8 b - - 59 190	100	0	0.5
K7/4n3/8/1kn5/8/8/8/8 b - - 63 192	99	0	0.5
K7/4n3/1k6/2n5/8/8/8/8 b - - 67 194	98	0	0.5
K7/2k5/8/2nn4/8/8/8/8 b - - 71 196	102	0	0.5
K7/2k5/8/1nn5/8/8/8/8 b - - 75 198	108	0	0.5
K7/2k5/8/1nn5/8/8/8/8 b - - 79 200	100	0	0.5
K7/8/1k1n4/2n5/8/8/8/8 b - - 83 202	86	0	0.5
K7/8/1k1n4/2n5/8/8/8/8 b - - 87 204	88	0	0.5
4k2r/p3P1pp/1p3p2/2p5/1n1P1P2/1P4P1/1B4KP/2R5 b k - 0 20	223	93	0.5
7r/p3k1pp/1p3p2/2P5/5P2/1P1n2P1/1B4KP/R7 b - - 2 22	250	107	0.5
7r/R5pp/1P2kp2/8/5P2/1P4P1/1n4KP/8 b - - 0 24	211	90	0.5
7r/7p/1PR1kpp1/8/5P2/1P1n2P1/6KP/8 b - - 3 26	206	86	0.5
1r6/2R1k2p/1P3pp1/8/5P2/1P1n2P1/6KP/8 b - - 7 28	198	85	0.5
1r6/6R1/1P2kpp1/8/5P2/1P1n2P1/6KP/8 b - - 2 30	204	65	0.5
8/8/4kpR1/8/5P2/1r1n2PP/6K1/8 b - - 0 32	184	91	0.5
8/8/4kpR1/8/5P2/1r1n2PP/6K1/8 b - - 4 34	193	89	0.5
8/5k1R/5p2/2n5/5P2/1r4PP/6K1/8 b - - 8 36	153	59	0.5
8/R7/5pk1/2n5/5P2/5KPP/1r6/8 b - - 12 38	151	49	0.5
8/8/5p2/2n2k2/5P2/2r3PP/6K1/R7 b - - 18 41	160	33	0.5
8/8/5p2/2n2k2/5P2/2r3PP/6K1/R7 b - - 22 43	157	25	0.5
8/8/5p2/2nk4/5P2/2r3PP/6K1/3R4 b - - 26 45	143	17	0.5
8/8/5p2/8/4kP2/2rn2PP/4R1K1/8 b - - 30 47	113	7	0.5
8/8/5p2/5k2/5P2/2r3PP/R4K2/4n3 b - - 34 49	103	4	0.5
8/8/5p2/5k2/1n3P2/2r3PP/3R2K1/8 b - - 38 51	90	5	0.5
6k1/6b1/3p1rpp/2pPp3/3nB1PP/4B3/5PK1/2R5 w - - 5 26	150	43	0.5
5rk1/6b1/3p2p1/2pPp1P1/3nB3/4B3/5PK1/2R5 w - - 1 28	159	34	0.5
5rk1/6b1/3p2B1/2pPp1P1/8/4n3/5PK1/7R w - - 0 30	111	20	0.5
5r2/5kbB/3p4/2pP2P1/4p3/4P3/6K1/7R w - - 2 32	133	27	0.5
4r3/5kbB/3p4/3P2P1/2p1p3/4P1K1/8/1R6 w - - 0 34	127	4	0.5
r2r2k1/2p2ppp/1qp5/4p3/1Pb1P3/R5P1/P1P2PBP/1R2Q1K1 w - - 1 20	288	137	0.5
r3r1k1/2p2pp1/1qp4p/R3p3/1Pb1P3/6P1/P1P2PBP/3RQ1K1 w - - 2 22	279	109	0.5
4r1k1/2p2pp1/2p4p/Pq2p3/2b1P3/2Q3P1/P1P2PBP/3R2K1 w - - 1 24	227	127	0.5
r5k1/2p2p2/2p3pp/Pq2p3/2b1P2P/2Q3PB/P1P2P2/3R2K1 w - - 0 26	213	133	0.5
r5k1/2p2p2/2p3pp/P3Q3/2b1P2P/6PB/2q2P2/3R2K1 w - - 0 28	244	113	0.5
r5k1/2pR1p2/2p3p1/P6p/2bQP2P/6PB/4qP2/6K1 w - - 0 30	235	99	0.5
r5k1/2R2p2/2p3p1/q6p/2bQP2P/6PB/5P1K/8 w - - 0 32	199	100	0.5
4r1k1/5p2/1R4p1/q6p/3QP2P/6PB/b4P1K/8 w - - 3 34	254	105	0.5
5rk1/1R1B1p2/q5p1/7p/3QP2P/6P1/b4P1K/8 w - - 7 36	178	79	0.5
5rk1/5p2/1R4p1/7p/2bQP2P/6PB/4qP1K/8 w - - 11 38	186	57	0.5
5rk1/5p2/b5p1/7p/1R1QP2P/3q2P1/5PBK/8 w - - 15 40	192	52	0.5
3r2k1/5p2/1R4p1/2Q4p/2b1P2P/3q2P1/5PBK/8 w - - 19 42	107	17	0.5
8/1p1k4/2bP1pp1/8/pB2rPP1/P2R2Kp/1P5P/8 w - - 12 43	231	106	0.5
8/1p1k4/3P1p2/1b4p1/p3rPP1/P1B3Kp/1P1R3P/8 w - - 0 45	265	107	0.5
8/1p1k4/3P1B2/1b6/p4pP1/P3r2p/1P1R1K1P/8 w - - 0 47	215	101	0.5
