fen	played_uci	coda_cp	opp_cp	dur	src
3r2k1/1br1q1p1/p2b1p1p/1p1P1B2/2p5/4P2P/PB3PP1/Q2R1RK1 w - - 0 23	a2a3	-138	-77	2	runA150.pgn
2br2k1/2r1q1p1/p2b1p1p/1p1P1B2/2p5/P3P2P/1B3PP1/Q2R1RK1 w - - 1 24	f5b1	-127	-74	2	runA150.pgn
8/5kp1/1Bbb3p/4p3/4P3/r1pB3P/5PP1/2R3K1 w - - 1 40	b6e3	-119	-44	12	runA150.pgn
8/6p1/2bbk2p/4p3/4P3/r1pBB2P/5PP1/2R3K1 w - - 3 41	g1h2	-112	-37	12	runA150.pgn
8/4b1p1/2b1k2p/4p3/4P3/r1pBB2P/5PPK/2R5 w - - 5 42	h2g3	-127	-37	12	runA150.pgn
rnb1k2b/ppq2p2/2pp1np1/4p1B1/4P3/N2P1N2/PPPQ1PP1/R3KB2 w Qq - 0 7	e1c1	115	57	53	runA150.pgn
r1b1k2b/ppqn1p2/2pp1np1/4p1B1/4P3/N2P1N2/PPPQ1PP1/2KR1B2 w q - 2 8	d2e1	133	56	53	runA150.pgn
r1b2k1b/ppqn1p2/2pp1np1/4p1B1/4P3/N2P1N2/PPP2PP1/2KRQB2 w - - 4 9	d3d4	122	82	53	runA150.pgn
r5k1/3b1pp1/1q2p2p/1pQpPn2/2pP4/5N1P/3NBPP1/1R4K1 b - - 3 20	b6a5	137	40	5	runA150.pgn
r5k1/3b1pp1/4p2p/qpQpPn2/2pP4/5N1P/3NBPP1/1R3K2 b - - 5 21	g7g5	92	27	5	runA150.pgn
r5k1/3b1p2/4p2p/qp1pPnp1/1QpP4/5N1P/3NBPP1/1R3K2 b - - 1 22	a5b4	100	23	5	runA150.pgn
8/5k2/3p4/p2r1pRP/P1p2P2/6P1/8/7K w - - 0 47	h5h6	-68	0	3	runA150.pgn
8/5k2/3p3P/p2r1pR1/P4P2/2p3P1/8/7K w - - 0 48	g5g7	-43	0	3	runA150.pgn
8/6R1/3pk2P/p2r1p2/P4P2/2p3P1/8/7K w - - 2 49	h6h7	-51	0	3	runA150.pgn
r2qkb1r/1bpp3p/p1n1pnp1/5p2/2BP4/2N1PN2/PP3PPP/R1BQK2R w KQkq - 3 6	e1g1	93	30	16	runA150.pgn
