fen	played_uci	coda_cp	opp_cp	dur	src
rn1qk2r/1bppppbp/1p3np1/p7/P2P1B2/2P1PN1P/1P3PP1/RN1QKB1R b KQkq - 0 3	e8g8	-99	-27	3	runA150.pgn
rn1q1rk1/1bppppbp/1p3np1/pB6/P2P1B2/2P1PN1P/1P3PP1/RN1QK2R b KQ - 2 4	f6e4	-89	-39	3	runA150.pgn
2r3k1/4np2/p3b2p/1p2B1p1/8/1P3P2/P5PP/4RBK1 w - - 2 25	f3f4	73	20	2	runA150.pgn
2r3k1/5p2/p3b2p/1p1nB1p1/5P2/1P6/P5PP/4RBK1 w - - 1 26	f4g5	62	13	2	runA150.pgn
3q1r2/rb2ppk1/1p5p/2p3pP/1PNnP3/3P2P1/5PB1/1RQ1R1K1 b - - 1 20	b7c8	102	47	5	runA150.pgn
2bq1r2/r3ppk1/1p5p/2p3pP/1P1nP3/3PN1P1/5PB1/1RQ1R1K1 b - - 3 21	d8d6	125	23	5	runA150.pgn
2b2r2/r3ppk1/1p1q3p/2P3pP/3nP3/3PN1P1/5PB1/1RQ1R1K1 b - - 0 22	b6c5	109	23	5	runA150.pgn
r1b1r1k1/5ppp/nnpb4/pp1pP1P1/7P/1P2P1N1/PBPPN1B1/2KR3R b - - 0 13	d6e5	-192	-108	6	runA150.pgn
r1b1r1k1/5ppp/nnp5/pp1pB1P1/7P/1P2P1N1/P1PPN1B1/2KR3R b - - 0 14	e8e5	-166	-105	6	runA150.pgn
r1b3k1/5ppp/nnp5/pp1pr1P1/3N3P/1P2P1N1/P1PP2B1/2KR3R b - - 1 15	c8d7	-189	-113	6	runA150.pgn
r1bqkbnr/1p3ppp/p1n1p3/2ppP3/3P1P2/2P5/PP3QPP/RNB1KBNR w KQkq - 1 5	d4c5	125	73	15	runA150.pgn
r1bqkbnr/1p3ppp/p1n1p3/2P1P3/3p1P2/2P5/PP3QPP/RNB1KBNR w KQkq - 0 6	b1d2	110	59	15	runA150.pgn
r1bqk1nr/1p3ppp/p1n1p3/2b1P3/3p1P2/2P5/PP1N1QPP/R1B1KBNR w KQkq - 0 7	g1f3	127	57	15	runA150.pgn
2r4r/1p2bpk1/1Bb1p1p1/4Pn1p/p3NP2/P2B2PP/1P3K2/2RR4 w - - 1 25	d3b1	76	23	3	runA150.pgn
r6r/1p2bpk1/1Bb1p1p1/4Pn1p/p3NP2/P5PP/1P3K2/1BRR4 w - - 3 26	d1d2	57	11	3	runA150.pgn
7r/1p2bpk1/rBb1p1p1/4Pn1p/p3NP2/P5PP/1P1R1K2/1BR5 w - - 5 27	b6c5	70	7	3	runA150.pgn
1r1q1k1r/2p1npbp/1p3np1/pBpPp3/P3P3/1PN2Q1P/1B3PP1/R3K2R w KQ - 1 13	e1g1	142	77	2	runA150.pgn
1rnq1k1r/2p2pbp/1p3np1/pBpPp3/P3P3/1PN2Q1P/1B3PP1/R4RK1 w - - 3 14	c3b1	128	60	2	runA150.pgn
1kb5/ppp2p2/3pn1p1/3N4/3PP2r/2P3rP/PP3RB1/2K2R2 w - - 10 23	d5e7	-118	-74	5	runA150.pgn
1kb5/pp2Np2/2ppn1p1/8/3PP2r/2P3rP/PP3RB1/2K2R2 w - - 0 24	e7c8	-143	-45	5	runA150.pgn
2k5/pp3p2/2ppn1p1/8/3PP2r/2P3rP/PP3RB1/2K2R2 w - - 0 25	g2f3	-86	-43	5	runA150.pgn
1r2r1k1/1p3ppp/pN1b4/8/2PP2b1/6P1/3B1P1P/1R2R1K1 b - - 6 20	b8d8	-112	-42	17	runA150.pgn
3rR1k1/1p3ppp/pN1b4/8/2PP2b1/6P1/3B1P1P/1R4K1 b - - 0 21	d8e8	-101	-48	17	runA150.pgn
4r1k1/1p3ppp/pN1b4/2P5/3P2b1/6P1/3B1P1P/1R4K1 b - - 0 22	g4f5	-103	-33	17	runA150.pgn
8/2np1k1p/3qp1p1/2pP1p2/2P2P2/P2Q2P1/2B4P/5K2 b - - 1 29	e6d5	112	55	2	runA150.pgn
8/2np1k1p/3q2p1/2pP1p2/5P2/P2Q2P1/2B4P/5K2 b - - 0 30	f7e7	110	48	2	runA150.pgn
r2qk2r/p1p2pb1/np2p1p1/3pPn1p/3P1P2/1PN2N2/PBPQ2PP/R3K2R w KQkq - 0 7	d2e2	80	32	5	runA150.pgn
r1q1k2r/p1p2pb1/np2p1p1/3pPn1p/3P1P2/1PN2N2/PBP1Q1PP/R3K2R w KQkq - 2 8	e1c1	91	30	5	runA150.pgn
r1q1kb1r/p1p2p2/np2p1p1/3pPn1p/3P1P2/1PN2N2/PBP1Q1PP/2KR3R w kq - 4 9	h1g1	94	20	5	runA150.pgn
r1q1k2r/2n1bp2/1pp1p1p1/p2pP3/3P1PPp/1PN1QNnP/PBP5/1K1R2R1 w kq - 0 15	c3a4	59	2	2	runA150.pgn
r3k2r/2n1bp2/qpp1p1p1/p2pP3/N2P1PPp/1P2QNnP/PBP5/1K1R2R1 w kq - 2 16	a2a3	65	10	2	runA150.pgn
1r3rk1/2n1bp2/2q1p1p1/p1ppP3/N1P2PPp/PP3QnP/1B1N4/1K1R2R1 w - - 5 21	b1a2	70	22	2	runA150.pgn
1r1r2k1/2n1bp2/2q1p1p1/p1ppP3/N1P2PPp/PP3QnP/KB1N4/3R2R1 w - - 7 22	g1e1	73	5	2	runA150.pgn
1r1r2k1/1qn1bp2/4p1p1/p1ppP3/N1P2PPp/PP4nP/KB1N1Q2/3RR3 w - - 11 24	f2f3	45	4	2	runA150.pgn
qr1r2k1/2n1bp2/4p1p1/p1ppP3/N1P2PPp/PP3QnP/KB1N4/3RR3 w - - 13 25	e1e3	77	-14	2	runA150.pgn
rn2kb1r/2qn1ppp/b1p1p3/3pP3/1p1P1B2/2NB1N2/1PP2PPP/R2Q1RK1 w kq - 0 9	c3e2	133	73	7	runA150.pgn
rn2k2r/2qnbppp/b1p1p3/3pP3/1p1P1B2/3B1N2/1PP1NPPP/R2Q1RK1 w kq - 2 10	c2c4	127	60	7	runA150.pgn
rn2k2r/2qnbppp/b1p1p3/4P3/1ppP1B2/3B1N2/1P2NPPP/R2Q1RK1 w kq - 0 11	d3c4	104	42	7	runA150.pgn
r4rk1/1p1bb1pp/1pnp1n2/5p2/2PPp3/2N1B2P/PPB2PPN/3RK2R w K - 4 13	e1g1	-67	-24	2	runA150.pgn
r4rk1/1p1bb1pp/1p1p1n2/n4p2/2PPp3/2N1B2P/PPB2PPN/3R1RK1 w - - 6 14	b2b3	-104	-23	2	runA150.pgn
6r1/8/4k1pR/3nb1BP/r3p1P1/5p2/5P1N/4R1K1 w - - 0 36	h2f1	-99	-52	9	runA150.pgn
6r1/8/4k1pR/4b1BP/r3p1P1/2n2p2/5P2/4RNK1 w - - 2 37	g5e3	-165	-69	9	runA150.pgn
6r1/8/5kpR/4b2P/r3p1P1/2n1Bp2/5P2/4RNK1 w - - 4 38	f1d2	-161	-60	9	runA150.pgn
r1bq1rk1/1ppnbppp/4pn2/2Pp4/P2P4/2N1PN1P/PB3PP1/R2QKB1R w KQ - 1 7	a1b1	102	28	3	runA150.pgn
r1bq1rk1/1p1nbppp/2p1pn2/2Pp4/P2P4/2N1PN1P/PB3PP1/1R1QKB1R w K - 0 8	f1d3	84	32	3	runA150.pgn
r1bq1rk1/3nbppp/1pp1pn2/2Pp4/P2P4/2NBPN1P/PB3PP1/1R1QK2R w K - 0 9	c5b6	86	34	3	runA150.pgn
r1q1rbk1/3n1p2/1p2b1p1/n1pNp1Pp/p1P1P3/1P2B2P/PQ1N1PB1/R2R2K1 b - - 1 20	a5c6	72	7	3	runA150.pgn
r1q1rbk1/3n1p2/1pn1b1p1/2pNp1Pp/p1P1P3/1P2B2P/PQ3PB1/RN1R2K1 b - - 3 21	a4b3	57	11	3	runA150.pgn
r1q1rbk1/3n1p2/1pn1b1p1/2pNp1Pp/2P1P3/1P2B2P/1Q3PB1/RN1R2K1 b - - 0 22	a8a1	41	0	3	runA150.pgn
2r1kb1r/3n1pp1/8/1p3p2/4p3/1P2P2P/PB1RNP2/5RK1 b k - 5 20	f8b4	100	23	2	runA150.pgn
2r1k2r/3n1pp1/8/1p1R1p2/1b2p3/1P2P2P/PB2NP2/5RK1 b k - 7 21	c8c2	93	13	2	runA150.pgn
1r3qk1/3bnr1p/Bp2p1pb/2ppPp2/p2PnPPQ/P1N1BN1P/1PP5/3R1RK1 w - - 6 17	a6e2	4	-39	2	runA150.pgn
1r3qk1/4nr1p/1pb1p1pb/2ppPp2/p2PnPPQ/P1N1BN1P/1PP1B3/3R1RK1 w - - 8 18	g1g2	7	-57	2	runA150.pgn
1rbq1rk1/2p3p1/2n4p/3p4/1p1P1PPb/4BB2/1PPQ4/RN1K3R b - - 9 20	g8h8	6	-39	3	runA150.pgn
1rbq1r1k/2p3p1/2n4p/3p1P2/1p1P2Pb/4BB2/1PPQ4/RN1K3R b - - 0 21	d8f6	68	-50	3	runA150.pgn
1rb2r1k/2p3p1/2n2q1p/3B1P2/1p1P2Pb/4B3/1PPQ4/RN1K3R b - - 0 22	c8b7	0	-55	3	runA150.pgn
1q6/2b1k3/2p1p1p1/p1PpPp1p/P2P3P/4P1B1/4Q1P1/6K1 w - - 0 37	e2a6	112	23	19	runA150.pgn
1q6/2bk4/Q1p1p1p1/p1PpPp1p/P2P3P/4P1B1/6P1/6K1 w - - 2 38	g3f4	125	17	19	runA150.pgn
1q1b4/3k4/Q1p1p1p1/p1PpPp1p/P2P1B1P/4P3/6P1/6K1 w - - 4 39	f4g5	110	7	19	runA150.pgn
1q6/3k4/Q1p1p1p1/p1PpPpPp/P2P4/4P3/6P1/3K4 w - - 59 70	a6a5	52	0	4	runA150.pgn
8/3k4/2p1p1p1/Q1PpPpPp/P2P4/1q2P3/6P1/3K4 w - - 1 71	d1d2	76	0	4	runA150.pgn
8/3k4/2p1p1p1/Q1PpPpPp/P2P4/4P3/1q1K2P1/8 w - - 3 72	d2d1	50	0	4	runA150.pgn
4r3/4qk2/1nbpN1p1/2p5/1p2P1Q1/1P5B/5P2/3R2K1 b - - 5 32	e7e6	-141	-57	36	runA150.pgn
4r3/5k2/1nbpq1p1/2p5/1p2PQ2/1P5B/5P2/3R2K1 b - - 1 33	e6f6	-133	-56	36	runA150.pgn
4r3/5k2/1nbp1Qp1/2p5/1p2P3/1P5B/5P2/3R2K1 b - - 0 34	f7f6	-150	-63	36	runA150.pgn
r2qr1k1/1p1b1pp1/p1nb1n1p/2p1p3/P2pPP2/1P1P2PP/1BPNN1B1/R2Q1RK1 b - - 0 9	b7b5	93	38	19	runA150.pgn
r2qr1k1/3b1pp1/p1nb1n1p/1pp1p3/P2pPP2/1P1P2PP/2PNN1B1/R1BQ1RK1 b - - 1 10	d8e7	89	39	19	runA150.pgn
r3r1k1/3bqpp1/p1nb1n1p/1pp1p3/P2pPP2/1P1P1NPP/2P1N1B1/R1BQ1RK1 b - - 3 11	b5a4	103	40	19	runA150.pgn
2q2rk1/5pp1/7p/2Np4/pr1PP1b1/3Q1BP1/Pb3P1P/1R1R2K1 w - - 3 26	f3g4	195	65	7	runA150.pgn
5rk1/5pp1/7p/2Np4/pr1PP1q1/3Q2P1/Pb3P1P/1R1R2K1 w - - 0 27	e4d5	122	71	7	runA150.pgn
5rk1/5pp1/7p/2NP4/1r1P2q1/p2Q2P1/Pb3P1P/1R1R2K1 w - - 0 28	h2h3	139	76	7	runA150.pgn
2q2rk1/5pp1/3P4/4b1N1/1R5p/p4QP1/P4P2/6K1 w - - 4 35	b4h4	91	27	25	runA150.pgn
5rk1/5pp1/3P4/4b1N1/7R/p4QP1/P4P2/2q3K1 w - - 1 36	g1g2	104	33	25	runA150.pgn
5rk1/5pp1/3P4/4b1q1/7R/p4QP1/P4PK1/8 w - - 0 37	h4h5	111	34	25	runA150.pgn
5r2/2pk1r2/3pn1q1/PR6/2P1pp1p/7Q/3B1PPP/3R3K w - - 1 31	a5a6	-14	-177	2	runA150.pgn
5r2/2pk1r2/P2pn1q1/1R6/2P2p1p/4p2Q/3B1PPP/3R3K w - - 0 32	a6a7	-128	-196	2	runA150.pgn
r4rk1/p1pq1pp1/2p1bb1p/4p3/8/2NPB1P1/PPP2P1P/R2QR1K1 b - - 1 9	f6e7	104	54	19	runA150.pgn
r4rk1/p1pqbpp1/2p1b2p/4p3/4N3/3PB1P1/PPP2P1P/R2QR1K1 b - - 3 10	e6g4	111	56	19	runA150.pgn
r4rk1/p1pqbpp1/2p4p/4p3/4N1b1/3PBPP1/PPP4P/R2QR1K1 b - - 0 11	g4h5	106	62	19	runA150.pgn
r3k2r/1pqnb3/p1p1p1b1/P1Pp1p1p/1P1PP1p1/8/1B1NBPPP/R3QRK1 w kq - 0 13	e4d5	26	-18	5	runA150.pgn
r3k2r/1pqnb3/p1p3b1/P1Pp1p1p/1P1P2p1/8/1B1NBPPP/R3QRK1 w kq - 0 14	e2d3	46	-27	5	runA150.pgn
r3k2r/1pqnb3/p1p3b1/P1Pp1p2/1P1P2pp/3B4/1B1N1PPP/R3QRK1 w kq - 0 15	f2f3	0	-46	5	runA150.pgn
r1bqkb1r/ppp2pp1/2n2n1p/3pp3/8/2PP1NPP/PP2PPB1/RNBQ1RK1 b kq - 1 3	c8e6	108	63	25	runA150.pgn
r2qkb1r/ppp2pp1/2n1bn1p/3pp3/8/2PP1NPP/PP1NPPB1/R1BQ1RK1 b kq - 3 4	a7a5	121	63	25	runA150.pgn
r2qkb1r/1pp2pp1/2n1bn1p/p2pp3/4P3/2PP1NPP/PP1N1PB1/R1BQ1RK1 b kq - 0 5	d5e4	97	52	25	runA150.pgn
r2qkb1r/1b2npp1/p2ppn1p/1pp5/4PPP1/P1NPBN2/1PP1Q1BP/R3K2R w KQkq - 7 7	f4f5	126	62	44	runA150.pgn
r2qkb1r/1b2npp1/p2p1n1p/1pp1pP2/4P1P1/P1NPBN2/1PP1Q1BP/R3K2R w KQkq - 0 8	f3d2	118	61	44	runA150.pgn
r2qkb1r/1b2npp1/p4n1p/1ppppP2/4P1P1/P1NPB3/1PPNQ1BP/R3K2R w KQkq - 0 9	e4d5	151	49	44	runA150.pgn
3r1b2/1k4p1/p4p2/2pNpP1r/2P1K2P/1P1P3R/8/6R1 w - - 79 67	g1g6	73	24	6	runA150.pgn
3r1b2/6p1/p1k2pR1/2pNpP1r/2P1K2P/1P1P3R/8/8 w - - 81 68	g6g4	70	20	6	runA150.pgn
5b2/3r2p1/p1k2p2/2pNpP1r/2P1K1RP/1P1P3R/8/8 w - - 83 69	h3h2	85	0	6	runA150.pgn
2r3k1/3pb1pp/p3p2n/2p2n2/2P1NP2/1rB3P1/2NPQ1KP/8 w - - 8 23	c2e3	47	-18	2	runA150.pgn
r5k1/3pb1pp/p3p2n/2p2n2/2P1NP2/1rB1N1P1/3PQ1KP/8 w - - 10 24	e3f5	34	-6	2	runA150.pgn
r1b1qrk1/pp1n2b1/2n1p1P1/3p2Np/3Pp3/1N1B4/PP2QPP1/R1B1K2R w KQ - 2 12	g5f7	26	-25	4	runA150.pgn
r1b1qrk1/pp1n1Nb1/2n1p1P1/3p3p/3P4/1N1p4/PP2QPP1/R1B1K2R w KQ - 0 13	e2h5	22	-22	4	runA150.pgn
r1b1q1k1/pp1n1rb1/2n1p1P1/3p3Q/3P4/1N1p4/PP3PP1/R1B1K2R w KQ - 0 14	g6f7	25	-20	4	runA150.pgn
8/pp2k3/2n1pn1R/3p4/3P4/1N2KP2/bP4P1/8 w - - 0 29	b3c5	-117	-62	4	runA150.pgn
8/p3k3/1pn1pn1R/2Np4/3P4/4KP2/bP4P1/8 w - - 0 30	c5d3	-122	-63	4	runA150.pgn
8/p3k3/1pn1pn1R/3p4/3P4/3NKP2/1P4P1/1b6 w - - 2 31	d3f4	-145	-59	4	runA150.pgn
8/2b2kp1/6P1/5K1P/2N5/8/8/8 b - - 0 120	f7g8	-76	-20	5	runA150.pgn
6k1/2b3p1/4K1P1/7P/2N5/8/8/8 b - - 2 121	g8f8	-75	-24	5	runA150.pgn
5k2/2bK2p1/6P1/7P/2N5/8/8/8 b - - 4 122	c7f4	-74	-15	5	runA150.pgn
rn2kb1r/ppp1pp1p/3q1np1/3b4/8/4PN2/PPQP1PPP/RNB1KB1R w KQkq - 0 3	f1e2	90	33	3	runA150.pgn
rn2kb1r/pp2pp1p/3q1np1/2pb4/8/4PN2/PPQPBPPP/RNB1K2R w KQkq - 0 4	b1c3	84	41	3	runA150.pgn
r3kb1r/pp2pp1p/2nq1np1/2pb4/8/2N1PN2/PPQPBPPP/R1B1K2R w KQkq - 2 5	e1g1	98	37	3	runA150.pgn
rq2kb1r/1p2pp1p/p1b2np1/2p5/8/P1n1PN2/1PQPBPPP/R1B2RK1 w kq - 0 11	c2c3	74	25	8	runA150.pgn
rq2kb1r/4pp1p/ppb2np1/2p5/8/P1Q1PN2/1P1PBPPP/R1B2RK1 w kq - 0 12	b2b4	75	25	8	runA150.pgn
rq2k2r/4ppbp/ppb2np1/2p5/1P6/P1Q1PN2/3PBPPP/R1B2RK1 w kq - 1 13	c1b2	81	26	8	runA150.pgn
1k2r3/pp2r2p/2p1N1pn/4q3/PPB1n3/4P1bP/2Q3P1/3RBR1K w - - 3 23	d1d4	-140	-83	4	runA150.pgn
1k2r3/pp2r2p/2p1N1pn/4q3/PPBRn3/4P2P/2Q3P1/4bR1K w - - 0 24	d4e4	-147	-74	4	runA150.pgn
1k2r3/pp2r2p/2p1N1pn/8/PPB1R3/2q1P2P/2Q3P1/4bR1K w - - 1 25	c2d1	-162	-57	4	runA150.pgn
r1b1kb1r/1p2p2p/p2p1pp1/q2Pn1BR/3Q1P2/P1N5/1PP3P1/R3KBN1 b Qkq - 0 8	g6h5	-88	-30	3	runA150.pgn
r1b1kb1r/1p2p2p/p2p1p2/q2PP1Bp/3Q4/P1N5/1PP3P1/R3KBN1 b Qkq - 0 9	d6e5	-100	-25	3	runA150.pgn
r1b1kb1r/1p2p2p/p4p2/q2Pp1Bp/7Q/P1N5/1PP3P1/R3KBN1 b Qkq - 1 10	f6g5	-96	-11	3	runA150.pgn
3rr1k1/1p2npp1/p1pp4/3P1b1p/2P1pN1P/P3P1P1/1P3PB1/2R1R1K1 b - - 2 18	c6d5	-83	-27	16	runA150.pgn
3rr1k1/1p2npp1/p2p4/3P1b1p/4pN1P/P3P1P1/1P3PB1/2R1R1K1 b - - 0 19	d8c8	-79	-30	16	runA150.pgn
2r1r1k1/1p2npp1/p2p4/3P1b1N/4p2P/P3P1P1/1P3PB1/2R1R1K1 b - - 0 20	e7g6	-99	-45	16	runA150.pgn
7r/4k3/1p1p4/pBnP1p2/P6P/5PK1/8/7R b - - 1 43	h8h5	-92	-45	20	runA150.pgn
8/4k3/1p1p4/pBnP1p1r/P6P/5PK1/7R/8 b - - 3 44	e7f7	-121	-36	20	runA150.pgn
8/5k2/1p1p4/pBnP1p1r/P4K1P/5P2/7R/8 b - - 5 45	f7f6	-121	-35	20	runA150.pgn
2q5/5p2/k1r2BpK/pp1pPp1p/b1rP1P2/P1P1R2P/1Q4P1/4R3 w - - 20 42	e5e6	85	-2	28	runA150.pgn
2q5/8/k1r1pBpK/pp1p1p1p/b1rP1P2/P1P1R2P/1Q4P1/4R3 w - - 0 43	b2e2	72	-12	28	runA150.pgn
2q5/8/k1r2BpK/pp1ppp1p/b1rP1P2/P1P1R2P/4Q1P1/4R3 w - - 0 44	f4e5	172	-16	28	runA150.pgn
2bq1rk1/r3p1bp/3p2p1/p1p2p2/2NP1P2/1PQ1PB2/P5PP/2R2RK1 w - - 4 16	c3d2	54	1	2	runA150.pgn
2bq1rk1/r3p1bp/3p2p1/p4p2/2Np1P2/1P2PB2/P2Q2PP/2R2RK1 w - - 0 17	e3d4	51	3	2	runA150.pgn
r2q1rk1/p3bppp/b3pn2/2pp4/Qn6/PP2PNP1/1BPP1PBP/RN3RK1 b - - 2 9	a6f1	91	12	13	runA150.pgn
r2q1rk1/p3bppp/4pn2/2pp4/Qn6/PP2PNP1/1BPP1PBP/RN3K2 b - - 0 10	a7a5	112	36	13	runA150.pgn
r2q1rk1/4bppp/4pn2/p1pp4/QP6/1P2PNP1/1BPP1PBP/RN3K2 b - - 0 11	a5b4	80	39	13	runA150.pgn
r2qk1nr/pbp2pb1/1pn1p1pp/3p4/3P1P2/1PNBPN2/PBP3PP/R2QK2R w KQkq - 4 5	d1d2	131	73	4	runA150.pgn
r2qk2r/pbp1npb1/1pn1p1pp/3p4/3P1P2/1PNBPN2/PBPQ2PP/R3K2R w KQkq - 6 6	e1c1	141	74	4	runA150.pgn
r3k2r/pbpqnpb1/1pn1p1pp/3p4/3P1P2/1PNBPN2/PBPQ2PP/2KR3R w kq - 8 7	g2g4	141	66	4	runA150.pgn
2k5/1bp1b1q1/1pn1p2p/p1Pp2p1/3P2P1/PP1BP3/1B2N2P/1K3Q2 w - - 2 25	c5b6	76	22	8	runA150.pgn
2k5/1b2b1q1/1pn1p2p/p2p2p1/3P2P1/PP1BP3/1B2N2P/1K3Q2 w - - 0 26	b1a2	69	25	8	runA150.pgn
2k5/1b4q1/1pnbp2p/p2p2p1/3P2P1/PP1BP3/KB2N2P/5Q2 w - - 2 27	e2c3	62	14	8	runA150.pgn
2r1r1k1/pB1p2bp/1p3np1/1Q3p2/1BP5/P5P1/4qP1P/2R2RK1 b - - 3 17	c8d8	-103	-55	2	runA150.pgn
3rr1k1/pB1p2bp/1p3np1/5p2/QBP5/P5P1/4qP1P/2R2RK1 b - - 5 18	f5f4	-57	-14	2	runA150.pgn
1k1r1b1r/pppqp1p1/2n2p1n/1P1p3b/5P1p/P1NBPN1P/1BPP2P1/R2Q1RK1 b - - 0 8	c6a5	71	19	2	runA150.pgn
1k1r1b1r/pppqp1p1/5p1n/nP1p3b/P4P1p/2NBPN1P/1BPP2P1/R2Q1RK1 b - - 0 9	h6f7	55	6	2	runA150.pgn
1k1r3r/pppq4/7n/1P1pp1p1/P1n4p/2B1P2P/1NPP1QP1/R4RK1 b - - 1 19	g5g4	141	70	13	runA150.pgn
1k1r3r/pppq4/7n/1P1pp3/P1N3pp/2B1P2P/2PP1QP1/R4RK1 b - - 0 20	d5c4	200	95	13	runA150.pgn
1k1r3r/pppq4/1P5n/4p3/P1p3pp/2B1P2P/2PP1QP1/R4RK1 b - - 0 21	a7b6	181	96	13	runA150.pgn
r1q2rk1/pbpn1nbp/1p2p1p1/4p3/2Np3P/3P1NP1/PPPBQPB1/R3R1K1 w - - 0 13	f3g5	-111	-50	2	runA150.pgn
r1q2rk1/pbpn2bp/1p2p1p1/4p1n1/2Np3P/3P2P1/PPPBQPB1/R3R1K1 w - - 0 14	h4g5	-93	-50	2	runA150.pgn
r3k2r/1b1nbp2/1qn1p1p1/ppppP1Pp/5P2/P2PBNNP/1PP3B1/R2Q1RK1 b kq - 1 12	a5a4	36	-20	2	runA150.pgn
r3k2r/1b1nbp2/1qn1p1p1/1pppP1Pp/p4P1N/P2PB1NP/1PP3B1/R2Q1RK1 b kq - 1 13	h8g8	11	-35	2	runA150.pgn
3k3r/3n1P2/q2b4/n1p2pP1/2Pp1B1p/Pp1P1Q1P/6B1/4R2K b - - 5 37	d6f4	-135	-177	2	runA150.pgn
3k3r/3n1P2/q7/n1p2pP1/2Pp1Q1p/Pp1P3P/6B1/4R2K b - - 0 38	a6g6	-122	-187	2	runA150.pgn
8/8/1k2K3/8/3NN3/8/8/8 w - - 7 72	e6d6	85	25	43	runA150.pgn
8/8/3K4/k7/3NN3/8/8/8 w - - 9 73	d6c5	98	26	43	runA150.pgn
8/8/8/2K5/k2NN3/8/8/8 w - - 11 74	e4c3	96	15	43	runA150.pgn
rn2kb1r/pbpp2pp/1p2pn1q/5p2/1P3P2/2P2NP1/PBQPP2P/RN2KB1R w KQkq - 1 4	b1a3	11	-34	2	runA150.pgn
rn2kb1r/1bpp2pp/1p2pn1q/p4p2/1P3P2/N1P2NP1/PBQPP2P/R3KB1R w KQkq - 0 5	b4b5	4	-37	2	runA150.pgn
r4kn1/1bqp2NQ/p2bp3/2p5/2P2p1n/2B1P3/P2P2P1/2KR1B2 b - - 1 18	f4e3	-143	-69	3	runA150.pgn
r4kn1/1bqp2NQ/p2bp3/2p5/2P4n/2B1P3/P5P1/2KR1B2 b - - 0 19	d6e5	-117	-76	3	runA150.pgn
r4kn1/1bqp3Q/p3N3/2p1b3/2P4n/2B1P3/P5P1/2KR1B2 b - - 0 20	d7e6	-135	-64	3	runA150.pgn
8/8/8/2N3n1/3k4/8/6K1/2n5 b - - 3 53	d4c5	69	0	47	runA150.pgn
8/8/8/2k3n1/8/6K1/8/2n5 b - - 1 54	c1d3	69	0	47	runA150.pgn
8/8/8/2k3n1/6K1/3n4/8/8 b - - 3 55	g5e4	69	0	47	runA150.pgn
r1bqr1k1/1pb2pp1/n1p2n2/P2p4/1P1N2Pp/2NQP2P/3B1PB1/R4RK1 w - - 1 16	d4c2	26	-25	4	runA150.pgn
r1b1r1k1/1pb1qpp1/n1p2n2/P2p4/1P4Pp/2NQP2P/2NB1PB1/R4RK1 w - - 3 17	a1b1	37	-15	4	runA150.pgn
r3r1k1/1pbbqpp1/n1p2n2/P2p4/1P4Pp/2NQP2P/2NB1PB1/1R3RK1 w - - 5 18	f2f4	36	-25	4	runA150.pgn
r1b2rk1/3n1p2/5npp/q1p1p3/4P3/2RB1N1P/1Q3PP1/1N1R2K1 b - - 1 17	a5c7	96	30	5	runA150.pgn
r1b2rk1/2qn1p2/5npp/2p1p3/4P3/R2B1N1P/1Q3PP1/1N1R2K1 b - - 3 18	c8b7	81	28	5	runA150.pgn
r4rk1/1bqn1p2/5npp/2p1p3/4P3/R2B1N1P/1Q1N1PP1/3R2K1 b - - 5 19	g8g7	72	31	5	runA150.pgn
5r2/2qn2k1/2b2pp1/2p1p2p/n3P2P/1Q1B4/2NN1PP1/R5K1 b - - 5 27	f8b8	127	46	26	runA150.pgn
1r6/2qn2k1/2b2pp1/2p1p2p/n3P2P/Q2B4/2NN1PP1/R5K1 b - - 7 28	d7f8	91	35	26	runA150.pgn
1r3n2/2q3k1/2b2pp1/2p1p2p/n1B1P2P/Q7/2NN1PP1/R5K1 b - - 9 29	c7d7	82	24	26	runA150.pgn
r4rk1/1bq1bp1p/3p1np1/p1p1p3/PpNnP3/1P1PN1PP/1BP2PB1/R2Q1RK1 b - - 3 13	f6d7	18	-33	2	runA150.pgn
r4rk1/1bqnbp1p/3p2p1/p1p1p3/PpNnP3/1PPPN1PP/1B3PB1/R2Q1RK1 b - - 0 14	b4c3	64	-33	2	runA150.pgn
8/2K1R3/r7/2kb4/8/8/8/8 b - - 49 92	a6a8	60	15	20	runA150.pgn
r7/3KR3/8/2kb4/8/8/8/8 b - - 51 93	a8a6	62	8	20	runA150.pgn
8/2K1R3/r7/2kb4/8/8/8/8 b - - 53 94	d5e6	61	0	20	runA150.pgn
r2q1rk1/pp1bppb1/3p1npp/2nP4/2B2P2/P1N1BN1P/1PP3P1/R2Q1RK1 w - - 1 10	c4a2	113	63	11	runA150.pgn
r2qr1k1/pp1bppb1/3p1npp/2nP4/5P2/P1N1BN1P/BPP3P1/R2Q1RK1 w - - 3 11	f3d4	102	53	11	runA150.pgn
r2qr1k1/pp1b1pb1/3ppnpp/2nP4/3N1P2/P1N1B2P/BPP3P1/R2Q1RK1 w - - 0 12	d5e6	109	47	11	runA150.pgn
rqr3k1/3n1p1p/4pb2/pN1b1p2/2B5/4PN2/4QPPP/1RR3K1 w - - 0 17	c4d5	110	9	3	runA150.pgn
rq4k1/3n1p1p/4pb2/pN1B1p2/8/4PN2/4QPPP/1Rr3K1 w - - 0 18	b1c1	122	27	3	runA150.pgn
