engine	set	fen	static	v4	v6	v8	v10	v12	v14
coda	blind	2kr4/1bp1np2/p2p1qP1/3pn1N1/1p3N2/4P1Q1/PPP1BP2/2K4R b - - 0 18	-146	41	50	29	5	0	0
coda	blind	r2q1rk1/1b1n1pp1/1p2pn1p/p1bPN3/5B2/PPN3P1/2Q1PPBP/R4RK1 b - - 0 10	-63	1	33	42	-26	-1	72
coda	blind	r1bqk2r/1p2bppp/p1n2n2/3p4/3p4/P1N2NP1/1PP2PBP/R1BQ1RK1 w kq - 0 7	3	121	116	72	64	43	40
coda	blind	r1bqrk2/1p3pb1/2pp1npp/p4p2/2PP1N1P/PPN1P1P1/5PB1/2RQK2R w K - 4 11	53	59	10	18	41	67	43
coda	blind	r1bqrk2/1p3pb1/2pp4/7R/p1PP4/PP4N1/5PB1/2RQ1K2 w - - 0 18	10	430	6	39	9	33	78
coda	blind	rnb1r3/p1k3p1/2p1Pp2/2b2N2/Pp2p3/1P4Pp/1BP1NP1P/2KR3R b - - 1 14	-5	50	81	61	48	122	105
coda	blind	r1bqr1k1/pp3pb1/2n3pp/8/1P2p3/3PBNPP/P2Q1PB1/2R2RK1 w - - 0 13	0	100	95	112	74	78	98
coda	blind	1r6/1Pp2pk1/2Qbb1p1/1P2p3/3pP3/4qN2/6KR/5R2 b - - 6 46	316	352	324	264	45	0	0
coda	blind	r1bq1rk1/1pp1p1bp/3p1np1/1P6/p1PPp3/Q3P3/PB1N1PPP/R3KB1R w KQ - 1 9	83	90	27	49	69	25	42
coda	blind	r1b2rk1/4p1bp/2pp1np1/5q2/p1PPp3/Q1B1P2P/P2NBPP1/4RRK1 w - - 1 15	186	330	250	50	14	0	0
coda	blind	r1b1r1k1/pp2qpbp/2p2np1/2n5/2pN4/BPN1P3/P1B2PPP/2QR1RK1 w - - 0 12	66	141	179	130	82	105	98
coda	blind	r2qr1k1/1p1n2bp/2p3p1/3pPn2/PP3B2/5NPP/3Q2B1/R4RK1 w - - 1 18	86	127	91	101	1	53	93
coda	blind	1r1n1rk1/pb2b2p/1p1ppn2/1P3p1q/P1PP2p1/5NP1/1B1N1PBP/R2Q1RK1 w - - 0 14	75	32	39	68	60	62	52
coda	blind	2k1r3/pbp2p2/1pnr3b/7p/2Pp4/NP1P1NP1/P5BP/R4R1K w - - 2 17	-66	-130	-64	-38	-15	-151	-94
coda	blind	2k1r3/pbp2p2/1p2r2b/3B1N1p/2Pp2n1/NP1P2P1/P6P/R4R1K w - - 8 20	-97	98	56	-108	-107	-90	-101
coda	blind	4N3/p1p5/1pk5/8/2Pp3n/1P1Pr3/P4K1P/5R2 w - - 0 30	-110	-102	-56	-58	-61	-56	-75
coda	blind	4N3/p1p2r2/1pk5/5n2/2PpR3/1P1P4/P6P/6K1 w - - 6 33	154	-35	-17	-52	-43	-44	-156
coda	blind	1r6/4kp2/2N1p1p1/2K1PnP1/5P1p/2P4P/8/8 b - - 1 45	672	-194	-138	-65	-62	-107	-44
coda	blind	3r4/3P2bk/1N4pq/5P2/1p2p1B1/1br2RQP/6RK/8 w - - 0 41	28	270	-163	-15	-13	0	-13
coda	blind	8/1p1r2k1/2n1b1pp/1N3p1P/4p1P1/P3P3/4P1B1/1R4K1 b - - 0 25	188	153	59	87	119	114	78
coda	blind	2r1q1bk/p5pp/3bn2r/8/4Pp2/P2Q1NP1/1B2BP1P/1R3RK1 b - - 2 22	-33	73	-20	-4	3	70	34
coda	blind	r1b2rk1/1pp2ppp/2nb1q2/p7/P2P4/3B1P2/1P2NPPP/R1BQ1RK1 w - - 0 10	190	111	84	133	119	110	86
coda	blind	7r/1prq1pk1/p2pp3/P1nP4/2P1PPp1/2N5/6Qp/1R1R3K w - - 2 29	92	167	42	94	136	64	91
coda	blind	3r1rk1/1pp1q1p1/2n1bp1p/p1p1p3/P3P3/1PPPN1P1/2Q2PBP/R4R1K w - - 0 15	15	-114	17	5	8	15	7
coda	blind	2rrn1k1/1b3pp1/1p6/p1b3q1/P2Np2p/1PB1P2P/2R2PP1/1Q1R1BK1 w - - 3 24	46	67	93	77	88	96	36
