fen	vstar
8/p7/1p6/1Pp1k3/P5pP/1bN1K3/7P/8 b - - 5 36	0
8/5k2/5P2/4nK1p/8/6P1/8/8 b - - 0 104	0
8/1R5p/1P4k1/1r6/4K3/8/8/8 w - - 4 60	0
8/5k2/8/p2q1pQ1/7P/P2p1P2/5P2/5K2 w - - 13 57	0
r3r1k1/6p1/1n1b3p/3p1p2/p1pP1P2/2P3P1/RP1N1B1P/R5K1 b - - 1 29	65
1r6/7k/2K1pp1P/3p4/2nP1P2/6R1/8/5N2 b - - 16 96	0
8/1Pk5/4Kp2/3B2p1/1p3p2/7P/1b4P1/8 w - - 4 73	0
1kr5/1pr3np/p3p1p1/P2pb3/qPP5/6PP/3QRPB1/1R4K1 w - - 0 31	5
8/4k2p/2b2p2/5N2/5K1P/8/8/8 b - - 11 78	0
2b3k1/2r2pp1/1R5p/4p3/4P2P/1p4P1/4B3/6K1 w - - 0 43	-74
8/2kR4/4pp2/2p1r3/4NKP1/1P6/8/8 b - - 0 60	0
8/8/5pp1/2b4p/1p2kP1P/1P4P1/PN2K3/8 w - - 1 62	3
8/4B3/4p1p1/1k1p3p/3PPP2/2nP1P2/8/4K3 w - - 14 55	0
r2qr1k1/p4p1p/4p1pP/2P2n2/2PbB3/6P1/P2B1P2/1RQ1K2R b K - 0 16	-15
3r1k2/1B6/4p2p/4P3/2R1K1P1/3P4/8/b7 b - - 0 63	-43
6k1/p2b1nBp/1p4p1/P3p1N1/2r1Pp2/6P1/1PP2PBP/5RK1 b - - 0 19	0
8/Pk6/8/8/4K3/1n6/8/8 b - - 2 55	0
8/2p5/4B3/3p2kp/3P4/1r1P4/5RKP/3n4 w - - 4 34	0
r1b2rk1/ppq1bppp/2nppn2/2p5/4P3/2PP1NPP/PP1N1PB1/R1BQ1RK1 w - - 2 6	6
rn1qk2r/pbp1bppp/1p2pn2/3p4/8/2PP2PN/PPN1PPBP/R1BQ1RK1 b kq - 6 4	15
r7/3k1pp1/ppn1p2p/2ppP3/n4PP1/B1P5/P2P3P/1R3RK1 w - - 0 15	-18
8/8/8/1n1K1k2/8/6N1/8/8 b - - 1 129	0
3r4/2k3p1/1pp2p2/4p2p/pP2PP1P/Pb2B3/1P2K1P1/2R5 b - - 0 24	8
r2q2k1/pbp2rp1/1p2pn1p/3p1p1P/P2P1B2/2P1P3/1PBQ1PP1/R3R1K1 w - - 3 16	57
